Month of Period End,Region,Avg. Median Sale Price
May 2016,"San Diego, CA - Cortez",$395K
June 2016,"San Diego, CA - Cortez",$426K
July 2016,"San Diego, CA - Cortez",$461K
August 2016,"San Diego, CA - Cortez",$477K
September 2016,"San Diego, CA - Cortez",$435K
October 2016,"San Diego, CA - Cortez",$434K
November 2016,"San Diego, CA - Cortez",$430K
December 2016,"San Diego, CA - Cortez",$435K
January 2017,"San Diego, CA - Cortez",$435K
February 2017,"San Diego, CA - Cortez",$390K
March 2017,"San Diego, CA - Cortez",$390K
April 2017,"San Diego, CA - Cortez",$422K
May 2017,"San Diego, CA - Cortez",$425K
June 2017,"San Diego, CA - Cortez",$424K
July 2017,"San Diego, CA - Cortez",$433K
August 2017,"San Diego, CA - Cortez",$465K
September 2017,"San Diego, CA - Cortez",$465K
October 2017,"San Diego, CA - Cortez",$462K
November 2017,"San Diego, CA - Cortez",$450K
December 2017,"San Diego, CA - Cortez",$469K
January 2018,"San Diego, CA - Cortez",$469K
February 2018,"San Diego, CA - Cortez",$456K
March 2018,"San Diego, CA - Cortez",$420K
April 2018,"San Diego, CA - Cortez",$440K
May 2018,"San Diego, CA - Cortez",$440K
June 2018,"San Diego, CA - Cortez",$425K
July 2018,"San Diego, CA - Cortez",$420K
August 2018,"San Diego, CA - Cortez",$425K
September 2018,"San Diego, CA - Cortez",$480K
October 2018,"San Diego, CA - Cortez",$486K
November 2018,"San Diego, CA - Cortez",$507K
December 2018,"San Diego, CA - Cortez",$509K
January 2019,"San Diego, CA - Cortez",$512K
February 2019,"San Diego, CA - Cortez",$527K
March 2019,"San Diego, CA - Cortez",$488K
April 2019,"San Diego, CA - Cortez",$476K
May 2019,"San Diego, CA - Cortez",$476K
June 2019,"San Diego, CA - Cortez",$474K
July 2019,"San Diego, CA - Cortez",$470K
August 2019,"San Diego, CA - Cortez",$465K
September 2019,"San Diego, CA - Cortez",$465K
October 2019,"San Diego, CA - Cortez",$485K
November 2019,"San Diego, CA - Cortez",$480K
December 2019,"San Diego, CA - Cortez",$485K
January 2020,"San Diego, CA - Cortez",$475K
February 2020,"San Diego, CA - Cortez",$475K
March 2020,"San Diego, CA - Cortez",$455K
April 2020,"San Diego, CA - Cortez",$460K
May 2020,"San Diego, CA - Cortez",$455K
June 2020,"San Diego, CA - Cortez",$418K
July 2020,"San Diego, CA - Cortez",$418K
August 2020,"San Diego, CA - Cortez",$425K
September 2020,"San Diego, CA - Cortez",$439K
October 2020,"San Diego, CA - Cortez",$490K
November 2020,"San Diego, CA - Cortez",$481K
December 2020,"San Diego, CA - Cortez",$440K
January 2021,"San Diego, CA - Cortez",$416K
February 2021,"San Diego, CA - Cortez",$420K
March 2021,"San Diego, CA - Cortez",$484K
April 2021,"San Diego, CA - Cortez",$460K
May 2021,"San Diego, CA - Cortez",$493K
June 2021,"San Diego, CA - Cortez",$472K
July 2021,"San Diego, CA - Cortez",$510K
August 2021,"San Diego, CA - Cortez",$517K
September 2021,"San Diego, CA - Cortez",$535K
October 2021,"San Diego, CA - Cortez",$535K
November 2021,"San Diego, CA - Cortez",$529K
February 2012,"San Diego, CA - Corridor",$150K
March 2012,"San Diego, CA - Corridor",$150K
April 2012,"San Diego, CA - Corridor",$150K
May 2012,"San Diego, CA - Corridor",$211K
June 2012,"San Diego, CA - Corridor",$203K
July 2012,"San Diego, CA - Corridor",$218K
August 2012,"San Diego, CA - Corridor",$268K
September 2012,"San Diego, CA - Corridor",$273K
October 2012,"San Diego, CA - Corridor",$255K
November 2012,"San Diego, CA - Corridor",$228K
December 2012,"San Diego, CA - Corridor",$264K
January 2013,"San Diego, CA - Corridor",$264K
February 2013,"San Diego, CA - Corridor",$282K
March 2013,"San Diego, CA - Corridor",$270K
April 2013,"San Diego, CA - Corridor",$312K
May 2013,"San Diego, CA - Corridor",$285K
June 2013,"San Diego, CA - Corridor",$290K
July 2013,"San Diego, CA - Corridor",$278K
August 2013,"San Diego, CA - Corridor",$290K
September 2013,"San Diego, CA - Corridor",$300K
October 2013,"San Diego, CA - Corridor",$310K
November 2013,"San Diego, CA - Corridor",$310K
December 2013,"San Diego, CA - Corridor",$320K
January 2014,"San Diego, CA - Corridor",$203K
February 2014,"San Diego, CA - Corridor",$236K
March 2014,"San Diego, CA - Corridor",$348K
April 2014,"San Diego, CA - Corridor",$350K
May 2014,"San Diego, CA - Corridor",$385K
June 2014,"San Diego, CA - Corridor",$416K
July 2014,"San Diego, CA - Corridor",$382K
August 2014,"San Diego, CA - Corridor",$361K
September 2014,"San Diego, CA - Corridor",$308K
October 2014,"San Diego, CA - Corridor",$315K
November 2014,"San Diego, CA - Corridor",$260K
December 2014,"San Diego, CA - Corridor",$255K
January 2015,"San Diego, CA - Corridor",$245K
February 2015,"San Diego, CA - Corridor",$242K
March 2015,"San Diego, CA - Corridor",$216K
April 2015,"San Diego, CA - Corridor",$235K
May 2015,"San Diego, CA - Corridor",$250K
June 2015,"San Diego, CA - Corridor",$290K
July 2015,"San Diego, CA - Corridor",$330K
August 2015,"San Diego, CA - Corridor",$315K
September 2015,"San Diego, CA - Corridor",$350K
October 2015,"San Diego, CA - Corridor",$373K
November 2015,"San Diego, CA - Corridor",$427K
December 2015,"San Diego, CA - Corridor",$423K
January 2016,"San Diego, CA - Corridor",$355K
February 2016,"San Diego, CA - Corridor",$359K
March 2016,"San Diego, CA - Corridor",$365K
April 2016,"San Diego, CA - Corridor",$403K
May 2016,"San Diego, CA - Corridor",$395K
June 2016,"San Diego, CA - Corridor",$300K
July 2016,"San Diego, CA - Corridor",$375K
August 2016,"San Diego, CA - Corridor",$375K
September 2016,"San Diego, CA - Corridor",$375K
October 2016,"San Diego, CA - Corridor",$330K
November 2016,"San Diego, CA - Corridor",$312K
December 2016,"San Diego, CA - Corridor",$387K
January 2017,"San Diego, CA - Corridor",$387K
February 2017,"San Diego, CA - Corridor",$400K
March 2017,"San Diego, CA - Corridor",$375K
April 2017,"San Diego, CA - Corridor",$379K
May 2017,"San Diego, CA - Corridor",$426K
June 2017,"San Diego, CA - Corridor",$410K
July 2017,"San Diego, CA - Corridor",$426K
August 2017,"San Diego, CA - Corridor",$460K
September 2017,"San Diego, CA - Corridor",$500K
October 2017,"San Diego, CA - Corridor",$356K
November 2017,"San Diego, CA - Corridor",$260K
December 2017,"San Diego, CA - Corridor",$325K
January 2018,"San Diego, CA - Corridor",$330K
February 2018,"San Diego, CA - Corridor",$407K
March 2018,"San Diego, CA - Corridor",$537K
April 2018,"San Diego, CA - Corridor",$537K
May 2018,"San Diego, CA - Corridor",$600K
June 2018,"San Diego, CA - Corridor",$550K
July 2018,"San Diego, CA - Corridor",$575K
August 2018,"San Diego, CA - Corridor",$508K
September 2018,"San Diego, CA - Corridor",$502K
October 2018,"San Diego, CA - Corridor",$455K
November 2018,"San Diego, CA - Corridor",$404K
December 2018,"San Diego, CA - Corridor",$365K
January 2019,"San Diego, CA - Corridor",$582K
February 2019,"San Diego, CA - Corridor",$562K
March 2019,"San Diego, CA - Corridor",$513K
April 2019,"San Diego, CA - Corridor",$315K
May 2019,"San Diego, CA - Corridor",$315K
June 2019,"San Diego, CA - Corridor",$460K
July 2019,"San Diego, CA - Corridor",$485K
August 2019,"San Diego, CA - Corridor",$428K
September 2019,"San Diego, CA - Corridor",$355K
October 2019,"San Diego, CA - Corridor",$325K
November 2019,"San Diego, CA - Corridor",$440K
December 2019,"San Diego, CA - Corridor",$450K
January 2020,"San Diego, CA - Corridor",$460K
February 2020,"San Diego, CA - Corridor",$465K
March 2020,"San Diego, CA - Corridor",$350K
April 2020,"San Diego, CA - Corridor",$350K
May 2020,"San Diego, CA - Corridor",$360K
June 2020,"San Diego, CA - Corridor",$478K
July 2020,"San Diego, CA - Corridor",$478K
August 2020,"San Diego, CA - Corridor",$476K
September 2020,"San Diego, CA - Corridor",$543K
October 2020,"San Diego, CA - Corridor",$511K
November 2020,"San Diego, CA - Corridor",$562K
December 2020,"San Diego, CA - Corridor",$518K
January 2021,"San Diego, CA - Corridor",$520K
February 2021,"San Diego, CA - Corridor",$520K
March 2021,"San Diego, CA - Corridor",$536K
April 2021,"San Diego, CA - Corridor",$665K
May 2021,"San Diego, CA - Corridor",$600K
June 2021,"San Diego, CA - Corridor",$638K
July 2021,"San Diego, CA - Corridor",$549K
August 2021,"San Diego, CA - Corridor",$600K
September 2021,"San Diego, CA - Corridor",$498K
October 2021,"San Diego, CA - Corridor",$475K
November 2021,"San Diego, CA - Corridor",$550K
February 2012,"San Diego, CA - Congress",$226K
March 2012,"San Diego, CA - Congress",$296K
April 2012,"San Diego, CA - Congress",$296K
May 2012,"San Diego, CA - Congress",$365K
July 2012,"San Diego, CA - Congress",$221K
August 2012,"San Diego, CA - Congress",$265K
September 2012,"San Diego, CA - Congress",$265K
October 2012,"San Diego, CA - Congress",$332K
November 2012,"San Diego, CA - Congress",$260K
December 2012,"San Diego, CA - Congress",$349K
January 2013,"San Diego, CA - Congress",$349K
February 2013,"San Diego, CA - Congress",$350K
March 2013,"San Diego, CA - Congress",$247K
April 2013,"San Diego, CA - Congress",$247K
May 2013,"San Diego, CA - Congress",$231K
June 2013,"San Diego, CA - Congress",$298K
July 2013,"San Diego, CA - Congress",$611K
August 2013,"San Diego, CA - Congress",$611K
September 2013,"San Diego, CA - Congress",$325K
October 2013,"San Diego, CA - Congress",$323K
November 2013,"San Diego, CA - Congress",$323K
April 2014,"San Diego, CA - Congress",$240K
May 2014,"San Diego, CA - Congress",$240K
June 2014,"San Diego, CA - Congress",$288K
July 2014,"San Diego, CA - Congress",$335K
August 2014,"San Diego, CA - Congress",$335K
March 2015,"San Diego, CA - Congress",$339K
April 2015,"San Diego, CA - Congress",$339K
May 2015,"San Diego, CA - Congress",$339K
July 2015,"San Diego, CA - Congress",$355K
August 2015,"San Diego, CA - Congress",$355K
September 2015,"San Diego, CA - Congress",$355K
December 2015,"San Diego, CA - Congress",$342K
January 2016,"San Diego, CA - Congress",$336K
February 2016,"San Diego, CA - Congress",$342K
March 2016,"San Diego, CA - Congress",$375K
April 2016,"San Diego, CA - Congress",$378K
May 2016,"San Diego, CA - Congress",$375K
June 2016,"San Diego, CA - Congress",$370K
July 2016,"San Diego, CA - Congress",$376K
August 2016,"San Diego, CA - Congress",$376K
September 2016,"San Diego, CA - Congress",$383K
October 2016,"San Diego, CA - Congress",$410K
November 2016,"San Diego, CA - Congress",$410K
December 2016,"San Diego, CA - Congress",$410K
May 2017,"San Diego, CA - Congress",$420K
June 2017,"San Diego, CA - Congress",$420K
July 2017,"San Diego, CA - Congress",$420K
October 2017,"San Diego, CA - Congress",$460K
November 2017,"San Diego, CA - Congress",$425K
December 2017,"San Diego, CA - Congress",$425K
January 2018,"San Diego, CA - Congress",$376K
February 2018,"San Diego, CA - Congress",$492K
March 2018,"San Diego, CA - Congress",$492K
April 2018,"San Diego, CA - Congress",$492K
May 2018,"San Diego, CA - Congress",$590K
June 2018,"San Diego, CA - Congress",$590K
July 2018,"San Diego, CA - Congress",$590K
November 2018,"San Diego, CA - Congress",$670K
December 2018,"San Diego, CA - Congress",$670K
January 2019,"San Diego, CA - Congress",$670K
March 2019,"San Diego, CA - Congress",$425K
April 2019,"San Diego, CA - Congress",$441K
May 2019,"San Diego, CA - Congress",$441K
June 2019,"San Diego, CA - Congress",$455K
July 2019,"San Diego, CA - Congress",$570K
August 2019,"San Diego, CA - Congress",$460K
September 2019,"San Diego, CA - Congress",$408K
October 2019,"San Diego, CA - Congress",$437K
November 2019,"San Diego, CA - Congress",$465K
December 2019,"San Diego, CA - Congress",$465K
March 2020,"San Diego, CA - Congress",$452K
April 2020,"San Diego, CA - Congress",$465K
May 2020,"San Diego, CA - Congress",$465K
June 2020,"San Diego, CA - Congress",$460K
July 2020,"San Diego, CA - Congress",$423K
August 2020,"San Diego, CA - Congress",$419K
September 2020,"San Diego, CA - Congress",$415K
October 2020,"San Diego, CA - Congress",$415K
November 2020,"San Diego, CA - Congress",$467K
December 2020,"San Diego, CA - Congress",$467K
January 2021,"San Diego, CA - Congress",$467K
February 2021,"San Diego, CA - Congress",$599K
March 2021,"San Diego, CA - Congress",$599K
April 2021,"San Diego, CA - Congress",$599K
May 2021,"San Diego, CA - Congress",$520K
June 2021,"San Diego, CA - Congress",$525K
July 2021,"San Diego, CA - Congress",$525K
August 2021,"San Diego, CA - Congress",$525K
September 2021,"San Diego, CA - Congress",$690K
October 2021,"San Diego, CA - Congress",$690K
November 2021,"San Diego, CA - Congress",$890K
February 2012,"San Diego, CA - Columbia",$588K
March 2012,"San Diego, CA - Columbia",$588K
April 2012,"San Diego, CA - Columbia",$635K
May 2012,"San Diego, CA - Columbia",$677K
June 2012,"San Diego, CA - Columbia",$655K
July 2012,"San Diego, CA - Columbia",$655K
August 2012,"San Diego, CA - Columbia",$648K
September 2012,"San Diego, CA - Columbia",$755K
October 2012,"San Diego, CA - Columbia",$700K
November 2012,"San Diego, CA - Columbia",$640K
December 2012,"San Diego, CA - Columbia",$550K
January 2013,"San Diego, CA - Columbia",$656K
February 2013,"San Diego, CA - Columbia",$656K
March 2013,"San Diego, CA - Columbia",$704K
April 2013,"San Diego, CA - Columbia",$735K
May 2013,"San Diego, CA - Columbia",$700K
June 2013,"San Diego, CA - Columbia",$650K
July 2013,"San Diego, CA - Columbia",$700K
August 2013,"San Diego, CA - Columbia",$685K
September 2013,"San Diego, CA - Columbia",$669K
October 2013,"San Diego, CA - Columbia",$720K
November 2013,"San Diego, CA - Columbia",$720K
December 2013,"San Diego, CA - Columbia",$816K
January 2014,"San Diego, CA - Columbia",$668K
February 2014,"San Diego, CA - Columbia",$725K
March 2014,"San Diego, CA - Columbia",$610K
April 2014,"San Diego, CA - Columbia",$550K
May 2014,"San Diego, CA - Columbia",$544K
June 2014,"San Diego, CA - Columbia",$650K
July 2014,"San Diego, CA - Columbia",$700K
August 2014,"San Diego, CA - Columbia",$715K
September 2014,"San Diego, CA - Columbia",$710K
October 2014,"San Diego, CA - Columbia",$767K
November 2014,"San Diego, CA - Columbia",$788K
December 2014,"San Diego, CA - Columbia",$740K
January 2015,"San Diego, CA - Columbia",$711K
February 2015,"San Diego, CA - Columbia",$629K
March 2015,"San Diego, CA - Columbia",$678K
April 2015,"San Diego, CA - Columbia",$710K
May 2015,"San Diego, CA - Columbia",$796K
June 2015,"San Diego, CA - Columbia",$810K
July 2015,"San Diego, CA - Columbia",$803K
August 2015,"San Diego, CA - Columbia",$785K
September 2015,"San Diego, CA - Columbia",$875K
October 2015,"San Diego, CA - Columbia",$875K
November 2015,"San Diego, CA - Columbia",$900K
December 2015,"San Diego, CA - Columbia",$828K
January 2016,"San Diego, CA - Columbia",$815K
February 2016,"San Diego, CA - Columbia",$815K
March 2016,"San Diego, CA - Columbia","$1,010K"
April 2016,"San Diego, CA - Columbia",$915K
May 2016,"San Diego, CA - Columbia",$890K
June 2016,"San Diego, CA - Columbia",$815K
July 2016,"San Diego, CA - Columbia",$835K
August 2016,"San Diego, CA - Columbia",$848K
September 2016,"San Diego, CA - Columbia",$900K
October 2016,"San Diego, CA - Columbia",$825K
November 2016,"San Diego, CA - Columbia",$823K
December 2016,"San Diego, CA - Columbia",$778K
January 2017,"San Diego, CA - Columbia",$661K
February 2017,"San Diego, CA - Columbia",$878K
March 2017,"San Diego, CA - Columbia",$975K
April 2017,"San Diego, CA - Columbia","$1,150K"
May 2017,"San Diego, CA - Columbia",$844K
June 2017,"San Diego, CA - Columbia",$830K
July 2017,"San Diego, CA - Columbia",$813K
August 2017,"San Diego, CA - Columbia",$855K
September 2017,"San Diego, CA - Columbia",$860K
October 2017,"San Diego, CA - Columbia",$928K
November 2017,"San Diego, CA - Columbia",$983K
December 2017,"San Diego, CA - Columbia",$940K
January 2018,"San Diego, CA - Columbia",$920K
February 2018,"San Diego, CA - Columbia",$815K
March 2018,"San Diego, CA - Columbia",$740K
April 2018,"San Diego, CA - Columbia",$689K
May 2018,"San Diego, CA - Columbia",$823K
June 2018,"San Diego, CA - Columbia",$955K
July 2018,"San Diego, CA - Columbia",$998K
August 2018,"San Diego, CA - Columbia",$965K
September 2018,"San Diego, CA - Columbia","$1,029K"
October 2018,"San Diego, CA - Columbia",$945K
November 2018,"San Diego, CA - Columbia","$1,150K"
December 2018,"San Diego, CA - Columbia",$948K
January 2019,"San Diego, CA - Columbia",$886K
February 2019,"San Diego, CA - Columbia",$886K
March 2019,"San Diego, CA - Columbia",$882K
April 2019,"San Diego, CA - Columbia",$845K
May 2019,"San Diego, CA - Columbia",$835K
June 2019,"San Diego, CA - Columbia",$835K
July 2019,"San Diego, CA - Columbia",$855K
August 2019,"San Diego, CA - Columbia",$943K
September 2019,"San Diego, CA - Columbia","$1,040K"
October 2019,"San Diego, CA - Columbia","$1,079K"
November 2019,"San Diego, CA - Columbia",$985K
December 2019,"San Diego, CA - Columbia",$955K
January 2020,"San Diego, CA - Columbia",$855K
February 2020,"San Diego, CA - Columbia",$697K
March 2020,"San Diego, CA - Columbia",$725K
April 2020,"San Diego, CA - Columbia",$839K
May 2020,"San Diego, CA - Columbia",$905K
June 2020,"San Diego, CA - Columbia",$831K
July 2020,"San Diego, CA - Columbia",$833K
August 2020,"San Diego, CA - Columbia",$833K
September 2020,"San Diego, CA - Columbia",$880K
October 2020,"San Diego, CA - Columbia",$889K
November 2020,"San Diego, CA - Columbia",$960K
December 2020,"San Diego, CA - Columbia",$870K
January 2021,"San Diego, CA - Columbia",$869K
February 2021,"San Diego, CA - Columbia",$845K
March 2021,"San Diego, CA - Columbia",$850K
April 2021,"San Diego, CA - Columbia",$943K
May 2021,"San Diego, CA - Columbia",$969K
June 2021,"San Diego, CA - Columbia",$978K
July 2021,"San Diego, CA - Columbia",$970K
August 2021,"San Diego, CA - Columbia","$1,005K"
September 2021,"San Diego, CA - Columbia",$925K
October 2021,"San Diego, CA - Columbia","$1,129K"
November 2021,"San Diego, CA - Columbia","$1,140K"
February 2012,"San Diego, CA - College West",$361K
March 2012,"San Diego, CA - College West",$362K
April 2012,"San Diego, CA - College West",$350K
May 2012,"San Diego, CA - College West",$350K
June 2012,"San Diego, CA - College West",$346K
July 2012,"San Diego, CA - College West",$388K
August 2012,"San Diego, CA - College West",$422K
September 2012,"San Diego, CA - College West",$421K
October 2012,"San Diego, CA - College West",$397K
November 2012,"San Diego, CA - College West",$400K
December 2012,"San Diego, CA - College West",$425K
January 2013,"San Diego, CA - College West",$425K
February 2013,"San Diego, CA - College West",$425K
March 2013,"San Diego, CA - College West",$438K
April 2013,"San Diego, CA - College West",$460K
May 2013,"San Diego, CA - College West",$473K
June 2013,"San Diego, CA - College West",$465K
July 2013,"San Diego, CA - College West",$472K
August 2013,"San Diego, CA - College West",$486K
September 2013,"San Diego, CA - College West",$485K
October 2013,"San Diego, CA - College West",$466K
November 2013,"San Diego, CA - College West",$454K
December 2013,"San Diego, CA - College West",$453K
January 2014,"San Diego, CA - College West",$453K
February 2014,"San Diego, CA - College West",$483K
March 2014,"San Diego, CA - College West",$521K
April 2014,"San Diego, CA - College West",$560K
May 2014,"San Diego, CA - College West",$523K
June 2014,"San Diego, CA - College West",$455K
July 2014,"San Diego, CA - College West",$465K
August 2014,"San Diego, CA - College West",$490K
September 2014,"San Diego, CA - College West",$510K
October 2014,"San Diego, CA - College West",$508K
November 2014,"San Diego, CA - College West",$507K
December 2014,"San Diego, CA - College West",$500K
January 2015,"San Diego, CA - College West",$480K
February 2015,"San Diego, CA - College West",$480K
March 2015,"San Diego, CA - College West",$505K
April 2015,"San Diego, CA - College West",$559K
May 2015,"San Diego, CA - College West",$548K
June 2015,"San Diego, CA - College West",$545K
July 2015,"San Diego, CA - College West",$545K
August 2015,"San Diego, CA - College West",$521K
September 2015,"San Diego, CA - College West",$508K
October 2015,"San Diego, CA - College West",$509K
November 2015,"San Diego, CA - College West",$510K
December 2015,"San Diego, CA - College West",$532K
January 2016,"San Diego, CA - College West",$532K
February 2016,"San Diego, CA - College West",$541K
March 2016,"San Diego, CA - College West",$541K
April 2016,"San Diego, CA - College West",$545K
May 2016,"San Diego, CA - College West",$559K
June 2016,"San Diego, CA - College West",$564K
July 2016,"San Diego, CA - College West",$563K
August 2016,"San Diego, CA - College West",$535K
September 2016,"San Diego, CA - College West",$570K
October 2016,"San Diego, CA - College West",$617K
November 2016,"San Diego, CA - College West",$575K
December 2016,"San Diego, CA - College West",$575K
January 2017,"San Diego, CA - College West",$576K
February 2017,"San Diego, CA - College West",$629K
March 2017,"San Diego, CA - College West",$589K
April 2017,"San Diego, CA - College West",$585K
May 2017,"San Diego, CA - College West",$586K
June 2017,"San Diego, CA - College West",$593K
July 2017,"San Diego, CA - College West",$600K
August 2017,"San Diego, CA - College West",$515K
September 2017,"San Diego, CA - College West",$577K
October 2017,"San Diego, CA - College West",$625K
November 2017,"San Diego, CA - College West",$653K
December 2017,"San Diego, CA - College West",$629K
January 2018,"San Diego, CA - College West",$599K
February 2018,"San Diego, CA - College West",$629K
March 2018,"San Diego, CA - College West",$658K
April 2018,"San Diego, CA - College West",$625K
May 2018,"San Diego, CA - College West",$605K
June 2018,"San Diego, CA - College West",$619K
July 2018,"San Diego, CA - College West",$620K
August 2018,"San Diego, CA - College West",$632K
September 2018,"San Diego, CA - College West",$646K
October 2018,"San Diego, CA - College West",$637K
November 2018,"San Diego, CA - College West",$641K
December 2018,"San Diego, CA - College West",$650K
January 2019,"San Diego, CA - College West",$659K
February 2019,"San Diego, CA - College West",$671K
March 2019,"San Diego, CA - College West",$569K
April 2019,"San Diego, CA - College West",$637K
May 2019,"San Diego, CA - College West",$637K
June 2019,"San Diego, CA - College West",$656K
July 2019,"San Diego, CA - College West",$652K
August 2019,"San Diego, CA - College West",$651K
September 2019,"San Diego, CA - College West",$643K
October 2019,"San Diego, CA - College West",$631K
November 2019,"San Diego, CA - College West",$578K
December 2019,"San Diego, CA - College West",$642K
January 2020,"San Diego, CA - College West",$708K
February 2020,"San Diego, CA - College West",$673K
March 2020,"San Diego, CA - College West",$675K
April 2020,"San Diego, CA - College West",$673K
May 2020,"San Diego, CA - College West",$620K
June 2020,"San Diego, CA - College West",$671K
July 2020,"San Diego, CA - College West",$708K
August 2020,"San Diego, CA - College West",$708K
September 2020,"San Diego, CA - College West",$710K
October 2020,"San Diego, CA - College West",$750K
November 2020,"San Diego, CA - College West",$757K
December 2020,"San Diego, CA - College West",$747K
January 2021,"San Diego, CA - College West",$690K
February 2021,"San Diego, CA - College West",$701K
March 2021,"San Diego, CA - College West",$745K
April 2021,"San Diego, CA - College West",$803K
May 2021,"San Diego, CA - College West",$810K
June 2021,"San Diego, CA - College West",$781K
July 2021,"San Diego, CA - College West",$748K
August 2021,"San Diego, CA - College West",$635K
September 2021,"San Diego, CA - College West",$874K
October 2021,"San Diego, CA - College West",$878K
November 2021,"San Diego, CA - College West",$923K
February 2012,"San Diego, CA - College East",$290K
March 2012,"San Diego, CA - College East",$299K
April 2012,"San Diego, CA - College East",$320K
May 2012,"San Diego, CA - College East",$307K
June 2012,"San Diego, CA - College East",$325K
July 2012,"San Diego, CA - College East",$325K
August 2012,"San Diego, CA - College East",$352K
September 2012,"San Diego, CA - College East",$327K
October 2012,"San Diego, CA - College East",$325K
November 2012,"San Diego, CA - College East",$327K
December 2012,"San Diego, CA - College East",$302K
January 2013,"San Diego, CA - College East",$339K
February 2013,"San Diego, CA - College East",$298K
March 2013,"San Diego, CA - College East",$350K
April 2013,"San Diego, CA - College East",$331K
May 2013,"San Diego, CA - College East",$393K
June 2013,"San Diego, CA - College East",$332K
July 2013,"San Diego, CA - College East",$332K
August 2013,"San Diego, CA - College East",$355K
September 2013,"San Diego, CA - College East",$373K
October 2013,"San Diego, CA - College East",$380K
November 2013,"San Diego, CA - College East",$349K
December 2013,"San Diego, CA - College East",$349K
January 2014,"San Diego, CA - College East",$355K
February 2014,"San Diego, CA - College East",$346K
March 2014,"San Diego, CA - College East",$387K
April 2014,"San Diego, CA - College East",$388K
May 2014,"San Diego, CA - College East",$410K
June 2014,"San Diego, CA - College East",$410K
July 2014,"San Diego, CA - College East",$415K
August 2014,"San Diego, CA - College East",$407K
September 2014,"San Diego, CA - College East",$407K
October 2014,"San Diego, CA - College East",$384K
November 2014,"San Diego, CA - College East",$379K
December 2014,"San Diego, CA - College East",$370K
January 2015,"San Diego, CA - College East",$368K
February 2015,"San Diego, CA - College East",$360K
March 2015,"San Diego, CA - College East",$368K
April 2015,"San Diego, CA - College East",$390K
May 2015,"San Diego, CA - College East",$428K
June 2015,"San Diego, CA - College East",$443K
July 2015,"San Diego, CA - College East",$449K
August 2015,"San Diego, CA - College East",$470K
September 2015,"San Diego, CA - College East",$470K
October 2015,"San Diego, CA - College East",$425K
November 2015,"San Diego, CA - College East",$420K
December 2015,"San Diego, CA - College East",$451K
January 2016,"San Diego, CA - College East",$470K
February 2016,"San Diego, CA - College East",$467K
March 2016,"San Diego, CA - College East",$467K
April 2016,"San Diego, CA - College East",$469K
May 2016,"San Diego, CA - College East",$480K
June 2016,"San Diego, CA - College East",$446K
July 2016,"San Diego, CA - College East",$465K
August 2016,"San Diego, CA - College East",$370K
September 2016,"San Diego, CA - College East",$320K
October 2016,"San Diego, CA - College East",$264K
November 2016,"San Diego, CA - College East",$415K
December 2016,"San Diego, CA - College East",$424K
January 2017,"San Diego, CA - College East",$440K
February 2017,"San Diego, CA - College East",$360K
March 2017,"San Diego, CA - College East",$310K
April 2017,"San Diego, CA - College East",$435K
May 2017,"San Diego, CA - College East",$440K
June 2017,"San Diego, CA - College East",$461K
July 2017,"San Diego, CA - College East",$470K
August 2017,"San Diego, CA - College East",$475K
September 2017,"San Diego, CA - College East",$475K
October 2017,"San Diego, CA - College East",$510K
November 2017,"San Diego, CA - College East",$468K
December 2017,"San Diego, CA - College East",$510K
January 2018,"San Diego, CA - College East",$422K
February 2018,"San Diego, CA - College East",$449K
March 2018,"San Diego, CA - College East",$469K
April 2018,"San Diego, CA - College East",$508K
May 2018,"San Diego, CA - College East",$428K
June 2018,"San Diego, CA - College East",$410K
July 2018,"San Diego, CA - College East",$438K
August 2018,"San Diego, CA - College East",$481K
September 2018,"San Diego, CA - College East",$512K
October 2018,"San Diego, CA - College East",$501K
November 2018,"San Diego, CA - College East",$505K
December 2018,"San Diego, CA - College East",$355K
January 2019,"San Diego, CA - College East",$485K
February 2019,"San Diego, CA - College East",$405K
March 2019,"San Diego, CA - College East",$418K
April 2019,"San Diego, CA - College East",$470K
May 2019,"San Diego, CA - College East",$480K
June 2019,"San Diego, CA - College East",$570K
July 2019,"San Diego, CA - College East",$530K
August 2019,"San Diego, CA - College East",$554K
September 2019,"San Diego, CA - College East",$535K
October 2019,"San Diego, CA - College East",$535K
November 2019,"San Diego, CA - College East",$449K
December 2019,"San Diego, CA - College East",$509K
January 2020,"San Diego, CA - College East",$603K
February 2020,"San Diego, CA - College East",$575K
March 2020,"San Diego, CA - College East",$595K
April 2020,"San Diego, CA - College East",$550K
May 2020,"San Diego, CA - College East",$509K
June 2020,"San Diego, CA - College East",$558K
July 2020,"San Diego, CA - College East",$580K
August 2020,"San Diego, CA - College East",$500K
September 2020,"San Diego, CA - College East",$548K
October 2020,"San Diego, CA - College East",$520K
November 2020,"San Diego, CA - College East",$560K
December 2020,"San Diego, CA - College East",$524K
January 2021,"San Diego, CA - College East",$485K
February 2021,"San Diego, CA - College East",$514K
March 2021,"San Diego, CA - College East",$555K
April 2021,"San Diego, CA - College East",$678K
May 2021,"San Diego, CA - College East",$621K
June 2021,"San Diego, CA - College East",$690K
July 2021,"San Diego, CA - College East",$650K
August 2021,"San Diego, CA - College East",$760K
September 2021,"San Diego, CA - College East",$733K
October 2021,"San Diego, CA - College East",$722K
November 2021,"San Diego, CA - College East",$714K
