Month of Period End,Region,Avg. Median Sale Price
May 2013,"San Diego, CA - Webster",$284K
June 2013,"San Diego, CA - Webster",$260K
July 2013,"San Diego, CA - Webster",$273K
August 2013,"San Diego, CA - Webster",$264K
September 2013,"San Diego, CA - Webster",$259K
October 2013,"San Diego, CA - Webster",$250K
November 2013,"San Diego, CA - Webster",$241K
December 2013,"San Diego, CA - Webster",$259K
January 2014,"San Diego, CA - Webster",$270K
February 2014,"San Diego, CA - Webster",$347K
March 2014,"San Diego, CA - Webster",$337K
April 2014,"San Diego, CA - Webster",$316K
May 2014,"San Diego, CA - Webster",$316K
June 2014,"San Diego, CA - Webster",$310K
July 2014,"San Diego, CA - Webster",$325K
August 2014,"San Diego, CA - Webster",$312K
September 2014,"San Diego, CA - Webster",$315K
October 2014,"San Diego, CA - Webster",$315K
November 2014,"San Diego, CA - Webster",$350K
December 2014,"San Diego, CA - Webster",$278K
January 2015,"San Diego, CA - Webster",$293K
February 2015,"San Diego, CA - Webster",$285K
March 2015,"San Diego, CA - Webster",$294K
April 2015,"San Diego, CA - Webster",$305K
May 2015,"San Diego, CA - Webster",$306K
June 2015,"San Diego, CA - Webster",$311K
July 2015,"San Diego, CA - Webster",$301K
August 2015,"San Diego, CA - Webster",$350K
September 2015,"San Diego, CA - Webster",$334K
October 2015,"San Diego, CA - Webster",$348K
November 2015,"San Diego, CA - Webster",$322K
December 2015,"San Diego, CA - Webster",$366K
January 2016,"San Diego, CA - Webster",$356K
February 2016,"San Diego, CA - Webster",$389K
March 2016,"San Diego, CA - Webster",$372K
April 2016,"San Diego, CA - Webster",$375K
May 2016,"San Diego, CA - Webster",$371K
June 2016,"San Diego, CA - Webster",$371K
July 2016,"San Diego, CA - Webster",$383K
August 2016,"San Diego, CA - Webster",$317K
September 2016,"San Diego, CA - Webster",$317K
October 2016,"San Diego, CA - Webster",$385K
November 2016,"San Diego, CA - Webster",$388K
December 2016,"San Diego, CA - Webster",$414K
January 2017,"San Diego, CA - Webster",$428K
February 2017,"San Diego, CA - Webster",$438K
March 2017,"San Diego, CA - Webster",$440K
April 2017,"San Diego, CA - Webster",$390K
May 2017,"San Diego, CA - Webster",$398K
June 2017,"San Diego, CA - Webster",$388K
July 2017,"San Diego, CA - Webster",$406K
August 2017,"San Diego, CA - Webster",$411K
September 2017,"San Diego, CA - Webster",$415K
October 2017,"San Diego, CA - Webster",$410K
November 2017,"San Diego, CA - Webster",$385K
December 2017,"San Diego, CA - Webster",$580K
January 2018,"San Diego, CA - Webster",$500K
February 2018,"San Diego, CA - Webster",$500K
March 2018,"San Diego, CA - Webster",$500K
April 2018,"San Diego, CA - Webster",$519K
May 2018,"San Diego, CA - Webster",$485K
June 2018,"San Diego, CA - Webster",$485K
July 2018,"San Diego, CA - Webster",$489K
August 2018,"San Diego, CA - Webster",$496K
September 2018,"San Diego, CA - Webster",$518K
October 2018,"San Diego, CA - Webster",$490K
November 2018,"San Diego, CA - Webster",$436K
December 2018,"San Diego, CA - Webster",$434K
January 2019,"San Diego, CA - Webster",$433K
February 2019,"San Diego, CA - Webster",$420K
March 2019,"San Diego, CA - Webster",$413K
April 2019,"San Diego, CA - Webster",$413K
May 2019,"San Diego, CA - Webster",$413K
June 2019,"San Diego, CA - Webster",$458K
July 2019,"San Diego, CA - Webster",$478K
August 2019,"San Diego, CA - Webster",$475K
September 2019,"San Diego, CA - Webster",$460K
October 2019,"San Diego, CA - Webster",$429K
November 2019,"San Diego, CA - Webster",$401K
December 2019,"San Diego, CA - Webster",$398K
January 2020,"San Diego, CA - Webster",$433K
February 2020,"San Diego, CA - Webster",$450K
March 2020,"San Diego, CA - Webster",$450K
April 2020,"San Diego, CA - Webster",$504K
May 2020,"San Diego, CA - Webster",$496K
June 2020,"San Diego, CA - Webster",$504K
July 2020,"San Diego, CA - Webster",$540K
August 2020,"San Diego, CA - Webster",$545K
September 2020,"San Diego, CA - Webster",$545K
October 2020,"San Diego, CA - Webster",$520K
November 2020,"San Diego, CA - Webster",$478K
December 2020,"San Diego, CA - Webster",$444K
January 2021,"San Diego, CA - Webster",$516K
February 2021,"San Diego, CA - Webster",$531K
March 2021,"San Diego, CA - Webster",$550K
April 2021,"San Diego, CA - Webster",$580K
May 2021,"San Diego, CA - Webster",$628K
June 2021,"San Diego, CA - Webster",$630K
July 2021,"San Diego, CA - Webster",$635K
August 2021,"San Diego, CA - Webster",$640K
September 2021,"San Diego, CA - Webster",$641K
October 2021,"San Diego, CA - Webster",$627K
November 2021,"San Diego, CA - Webster",$627K
February 2012,"San Diego, CA - Village",$433K
March 2012,"San Diego, CA - Village",$620K
April 2012,"San Diego, CA - Village",$685K
May 2012,"San Diego, CA - Village",$720K
June 2012,"San Diego, CA - Village",$638K
July 2012,"San Diego, CA - Village",$588K
August 2012,"San Diego, CA - Village",$516K
September 2012,"San Diego, CA - Village",$478K
October 2012,"San Diego, CA - Village",$494K
November 2012,"San Diego, CA - Village",$535K
December 2012,"San Diego, CA - Village",$586K
January 2013,"San Diego, CA - Village",$606K
February 2013,"San Diego, CA - Village",$731K
March 2013,"San Diego, CA - Village",$636K
April 2013,"San Diego, CA - Village",$738K
May 2013,"San Diego, CA - Village",$682K
June 2013,"San Diego, CA - Village",$670K
July 2013,"San Diego, CA - Village",$631K
August 2013,"San Diego, CA - Village",$762K
September 2013,"San Diego, CA - Village",$675K
October 2013,"San Diego, CA - Village",$592K
November 2013,"San Diego, CA - Village",$783K
December 2013,"San Diego, CA - Village",$767K
January 2014,"San Diego, CA - Village",$701K
February 2014,"San Diego, CA - Village",$650K
March 2014,"San Diego, CA - Village",$655K
